date,GULF,POSTWAR,R_FTSE,R_STOCK1,R_STOCK2,R_STOCK3
1990-01-01,0,0,0.0024422205251664,0.0,0.0,0.0
1990-01-02,0,0,0.000266063590767196,0.0080542196120259,0.017328384757385,0.00173927998477463
1990-01-03,0,0,-0.00756601588697059,0.00398499872164048,0.0431735466331302,0.0121635284654066
1990-01-04,0,0,0.00729995229620339,0.0,-0.0189690961222606,-0.00693941737529613
1990-01-05,0,0,-0.0108355016391001,0.0039691815175189,0.00475240890654493,0.00693941737529613
1990-01-06,0,0,-0.00652200670114488,-0.00196474244709055,0.0,0.0
1990-01-07,0,0,0.00643233668673737,0.0157517092474375,0.00477711680621428,0.0
1990-01-08,0,0,0.00879411064455393,0.00781870294470188,-0.00952952571275922,-0.0174150742769532
1990-01-09,0,0,-0.0070022363130251,0.00772338935213134,-0.014442589644414,-0.00177309377356582
1990-01-10,0,0,-0.0051603174796746,-0.0214022425088291,-0.0196199558563519,-0.0159506487349867
1990-01-11,0,0,0.00076450884033008,0.00586015021199592,-0.0250537108506092,-0.00900635018636375
1990-01-12,0,0,0.0046643130712809,-0.00784484040132049,0.0,-0.00359494058048603
1990-01-13,0,0,0.0128925054188826,0.00590702600121506,0.0250537108506092,0.0143778679459547
1990-01-14,0,0,-0.0115063798643895,-0.0198033326394009,-0.020012615333548,-0.00358140558369779
1990-01-15,0,0,0.00964945122044902,0.0158809968275104,-0.00504109551706122,-0.00538366080195196
1990-01-16,0,0,-0.00416852044861926,-0.0178974895348602,-0.0153802176196302,-0.010880561835056
1990-01-17,0,0,0.00381442846952939,0.00600149142899031,-0.0103692022472969,0.00183439541885466
1990-01-18,0,0,0.011006538867047,-0.0160725807536472,-0.00519913825821749,0.00363336485589638
1990-01-19,0,0,0.00624169984325639,0.00203688281968084,-0.00522631063129797,-0.0127621120062846
1990-01-20,0,0,-0.0140217878770672,0.00402517179005812,0.0207946511368124,0.0163570525867706
1990-01-21,0,0,0.0038756324385849,-0.00202869218975809,0.0204213131366914,0.00900635018636375
