Date,return
2002-04-01,0.02503248
2002-05-01,-0.04079021
2002-06-01,-0.273755
2002-07-01,-0.14946073
2002-08-01,-0.033991512
2002-09-01,-0.017092422
2002-10-01,0.10280059
2002-11-01,-0.03611258
2002-12-01,-0.07848279
2003-01-01,0.0020929256
2003-02-01,0.044269342
2003-03-01,-0.059709225
2003-04-01,0.0056429813
2003-05-01,0.23293954
2003-06-01,0.059997708
2003-07-01,0.100736305
2003-08-01,0.07006672
2003-09-01,-0.087292515
2003-10-01,0.0996001
2003-11-01,-0.09047247
2003-12-01,0.021760607
2004-01-01,0.054187715
2004-02-01,0.05853778
2004-03-01,0.12260274
2004-04-01,-0.047717202
2004-05-01,0.084744595
2004-06-01,0.14812422
2004-07-01,-0.006164504
2004-08-01,0.06436508
2004-09-01,0.11646027
2004-10-01,0.3017763
2004-11-01,0.24653254
2004-12-01,-0.040324308
2005-01-01,0.17739227
2005-02-01,0.1541872
2005-03-01,-0.07376532
2005-04-01,-0.14459722
2005-05-01,0.09767802
2005-06-01,-0.07709236
2005-07-01,0.14725767
2005-08-01,0.09477691
2005-09-01,0.13393168
2005-10-01,0.07161382
2005-11-01,0.16350761
2005-12-01,0.058279995
2006-01-01,0.049127802
2006-02-01,-0.097577736
2006-03-01,-0.088006906
2006-04-01,0.11537153
2006-05-01,-0.1635484
2006-06-01,-0.042726517
2006-07-01,0.17114232
2006-08-01,-0.0016199313
2006-09-01,0.12624615
2006-10-01,0.05189097
2006-11-01,0.12264935
2006-12-01,-0.077318795
2007-01-01,0.010435835
2007-02-01,-0.013150083
2007-03-01,0.09357879
2007-04-01,0.07153695
2007-05-01,0.19419096
2007-06-01,0.006989306
2007-07-01,0.0766336
2007-08-01,0.049743474
2007-09-01,0.10277919
2007-10-01,0.21325567
2007-11-01,-0.04154596
2007-12-01,0.08345632
2008-01-01,-0.3807331
2008-02-01,-0.07946447
2008-03-01,0.13786156
2008-04-01,0.19243266
2008-05-01,0.08165586
2008-06-01,-0.119798355
2008-07-01,-0.05203548
2008-08-01,0.06444018
2008-09-01,-0.39981836
2008-10-01,-0.054884125
2008-11-01,-0.1492826
2008-12-01,-0.082284205
2009-01-01,0.054492287
2009-02-01,-0.009138978
2009-03-01,0.16298883
2009-04-01,0.17982896
2009-05-01,0.076324835
2009-06-01,0.04759431
2009-07-01,0.13728933
2009-08-01,0.029073102
2009-09-01,0.09703246
2009-10-01,0.016852194
2009-11-01,0.058769077
2009-12-01,0.052710664
2010-01-01,-0.092769675
2010-02-01,0.06334656
2010-03-01,0.13843083
2010-04-01,0.10527981
2010-05-01,-0.016256494
2010-06-01,-0.021046551
2010-07-01,0.022486271
2010-08-01,-0.056575447
2010-09-01,0.15462075
2010-10-01,0.058950596
2010-11-01,0.033230674
