month,smb,hml,umd,rf,rm,rmrf
1985m12,-0.00475763,0.02289749,-0.03542143,0.0088640549,-0.0159710883,-0.02483514
1986m1,0.02517495,0.03673678,-0.00248833,0.0095620944,0.0233688712,0.01380678
1986m2,-0.00284758,-0.02464302,0.01429938,0.009377025,0.0817715235,0.0723945
1986m3,-0.01253125,-0.0012775,0.07942305,0.0085446321,0.0828538383,0.07430921
1986m4,0.06446004,0.00972533,-0.00909251,0.0078556955,0.010454268,0.00259857
1986m5,0.01749225,0.02313521,0.00628539,0.0074694246,-0.0305244264,-0.03799385
1986m6,0.01094519,0.01435412,0.01011169,0.0074442384,0.0372780278,0.02983379
1986m7,0.02207925,0.00424623,-0.00554805,0.0076121595,-0.0505761949,-0.05818835
1986m8,-0.04546735,-0.01224789,-0.03028082,0.0074694246,0.0620489333,0.05457951
1986m9,0.01885196,0.03664857,0.0093831,0.0077381191,-0.0557836921,-0.06352181
1986m10,-0.00294197,0.0314265,-0.01713988,0.0084017651,0.0535864395,0.04518467
1986m11,0.01594992,0.02662328,-0.01435267,0.0084858023,0.0133888382,0.00490304
1986m12,0.00124297,0.03217289,-0.00938976,0.008468994,0.0281900252,0.01972103
1987m1,0.01103578,0.0102801,0.0249952,0.0084017651,0.0844793412,0.07607758
1987m2,-0.01350255,-0.05271431,0.00100289,0.0081244924,0.0914422628,0.08331777
1987m3,0.04471848,0.04713652,0.02928288,0.0074526339,0.0200993247,0.01264669
1987m4,0.00194858,0.01573741,-0.01325408,0.0073434992,0.026340949,0.01899745
1987m5,0.00535099,0.00226091,0.01443002,0.0068147824,0.0748702969,0.06805551
1987m6,0.06726263,0.04726884,0.0601596,0.0070245572,0.0535864395,0.04656188
1987m7,0.05192036,0.01943515,0.01512068,0.0071588365,0.0450868599,0.03792802
1987m8,-0.00475548,-0.0001004,-0.01235315,0.0078724929,-0.0437156763,-0.05158817
1987m9,-0.00095386,0.00527216,0.02582203,0.0077969053,0.0568576255,0.04906072
1987m10,0.02707259,0.06790376,-0.05910828,0.0071084796,-0.2634660818,-0.27057456
1987m11,-0.04728793,0.02865203,-0.01420271,0.0068063922,-0.0990450294,-0.10585142
1987m12,-0.00408953,0.01311931,-0.01963009,0.0065966629,0.0968034552,0.09020679
1988m1,0.01758005,-0.00255016,-0.00945506,0.0065966629,0.056012475,0.04941581
