Date,SANDP,FORD,GE,MICROSOFT,ORACLE,USTB3M,FORDRET,GERET,MSOFTRET,PORTRET,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2002-01-01,1130.2,12.57,25.7,27.33,16.64,1.73,,,,,,"Variance-Covariance matrix, V",,,,,,
2002-02-01,1106.73,12.23,26.75,25.02,16.03,1.75,-2.7048528241845653,4.08560311284047,-8.452250274423706,-4.634559147166778,,,FORD,GE,MSOFT,,,
2002-03-01,1147.39,13.55,25.99,25.87,12.34,1.77,10.793131643499594,-2.8411214953271084,3.397282174260597,8.309952498820588,,FORD,293.0247913834297,61.551115749557546,42.90264127664907,,,
2002-04-01,1076.92,13.15,21.92,22.41,9.68,1.78,-2.9520295202952056,-15.659869180454008,-13.374565133359107,-6.451427821555865,,GE,61.551115749557546,66.9005522446814,25.78506450014233,,,
2002-05-01,1067.14,14.59,21.64,21.84,7.64,1.77,10.950570342205319,-1.2773722627737276,-2.5435073627844726,6.419892362200885,,MSOFT,42.90264127664907,25.78506450014233,50.05452875464125,,,
2002-06-01,989.82,13.23,20.31,23.46,9.13,1.75,-9.321453050034266,-6.146025878003704,7.417582417582423,-3.701270547928131,,,,,,,,
2002-07-01,911.62,11.22,22.52,20.58,9.65,1.72,-15.192743764172333,10.881339241752835,-12.2762148337596,-14.21351022988042,,Stock Returns,,,,,,
2002-08-01,916.07,9.81,21.08,21.05,9.25,1.69,-12.566844919786096,-6.394316163410307,2.2837706511176017,-7.580705190375426,,1.3067085982169027,0.23878116879351705,0.3905645106927807,,,,
2002-09-01,815.28,8.17,17.36,18.76,7.58,1.64,-16.717635066258925,-17.64705882352941,-10.878859857482182,-14.757248380563563,,,,,,,,
2002-10-01,885.76,7.13,17.78,22.93,9.83,1.58,-12.729498164014688,2.4193548387096873,22.228144989339008,-0.992362249258063,,"Portfolio Weights, w",,,,"Portfolio weights transposed, w'",,
2002-11-01,936.31,9.6,19.1,24.74,11.72,1.5,34.64235624123422,7.424071991001126,7.893589184474482,25.661375655097817,,FORD,0.664246932687434,,,FORD,GE,MSOFT
2002-12-01,879.82,7.84,17.28,22.17,10.41,1.22,-18.333333333333332,-9.528795811518325,-10.38803556992723,-15.665675238558062,,GE,0,,,0.664246932687434,0,0.33575306731256593
2003-01-01,855.7,7.76,16.42,20.36,11.6,1.22,-1.020408163265307,-4.9768518518518485,-8.164185836716292,-3.4189534293255015,,MSOFT,0.33575306731256593,,,,,
2003-02-01,841.15,7.09,17.2,20.4,11.53,1.17,-8.6340206185567,4.750304506699132,0.1964636542239644,-5.669158438115218,,,0.9999999999999999,<<< sum of weights,,,,
2003-03-01,848.18,6.41,18.24,20.83,10.45,1.17,-9.59097320169252,6.046511627906972,2.1078431372549007,-5.66305973196456,,,,,,,,
2003-04-01,916.92,8.86,21.06,22.0,11.46,1.12,38.22152886115444,15.460526315789474,5.616898703792615,27.274424277228412,,Portfolio Statistics,,,,,,
2003-05-01,963.59,9.04,20.53,21.18,12.55,1.13,2.0316027088036086,-2.5166191832858384,-3.7272727272727284,0.0980426168699875,,Mean,0.9991104107304067,,,,,
2003-06-01,974.5,9.46,20.65,22.06,11.58,1.07,4.646017699115063,0.5845104724792861,4.154863078375822,4.481111028677122,,Variance,154.0687668794376,,,,,
2003-07-01,990.31,9.61,20.47,22.73,11.56,0.88,1.5856236786469193,-0.8716707021791754,3.0371713508612954,2.072985261943311,,Std Dev.,12.41244403328521,,,,,
2003-08-01,1008.01,10.04,21.29,22.82,12.37,0.97,4.4745057232049925,4.005862237420617,0.39595248570171515,3.1051189635156704,,,,,,,,
2003-09-01,995.97,9.35,21.59,23.92,10.85,0.97,-6.872509960159357,1.4091122592766592,4.820333041191943,-2.9466020568513875,,Points for efficient frontier,,,,,,
2003-10-01,1050.71,10.62,21.01,22.62,11.54,0.95,13.582887700534755,-2.6864289022695615,-5.434782608695654,7.1976465610715294,,Mean,Std Dev.,Ford,GE,Msoft,,
2003-11-01,1058.2,11.56,20.77,22.25,11.59,0.96,8.851224105461407,-1.1423131841980103,-1.635720601237847,5.3302002534498545,,0.33422585323059983,6.406733572887576,0,0.37,0.63,,
2003-12-01,1111.92,14.01,22.59,23.69,12.76,0.94,21.193771626297572,8.762638420799231,6.471910112359556,16.250861466442064,,0.38,6.5,0.04062957258856684,0.3030639293438442,0.656306498066387,,
2004-01-01,1131.13,12.81,24.52,23.93,13.36,0.93,-8.565310492505349,8.543603364320495,1.0130856901646197,-5.349334594238933,,0.5,7,0.14,0.18,0.68,,
2004-02-01,1144.94,12.12,23.85,22.96,12.41,0.94,-5.386416861826707,-2.7324632952691603,-4.053489343919761,-4.938882359184125,,0.57,7.5,0.21,0.1,0.69,,
2004-03-01,1126.21,11.96,22.39,21.57,11.57,0.96,-1.3201320132013068,-6.121593291404615,-6.054006968641117,-2.9095450497643593,,0.63,7.99999999999999,0.27,0.03,0.7,,
2004-04-01,1107.3,13.62,21.97,22.61,10.85,0.95,13.879598662207343,-1.8758374274229643,4.8215113583681,10.838318065958305,,0.69,8.5,0.32,0,0.68,,
2004-05-01,1120.68,13.17,22.83,22.7,10.99,1.01,-3.303964757709246,3.91442876649977,0.3980539584254748,-2.061000618518486,,0.73,9,0.38,0,0.62,,
2004-06-01,1140.84,13.88,23.91,24.72,11.5,1.18,5.3910402429764686,4.730617608409995,8.898678414096914,6.568740517952796,,0.78,9.5,0.42,0,0.58,,
2004-07-01,1101.72,13.14,24.54,24.65,10.13,1.32,-5.331412103746399,2.634880803011288,-0.2831715210355999,-3.6364498435694728,,0.82,10,0.47,0,0.53,,
2004-08-01,1104.24,12.6,24.2,23.69,9.61,1.48,-4.109589041095897,-1.3854930725346368,-3.8945233265719974,-4.037380067770728,,0.86,10.5,0.51,0,0.49,,
2004-09-01,1114.58,12.54,24.93,24.0,10.88,1.61,-0.47619047619048016,3.0165289256198364,1.308569016462637,0.1230479978830229,,0.9,11,0.55,0,0.45,,
